Date,Open,High,Low,Close,Volume
2006-03-15,19.507,19.532,19.395,19.532,658769
2006-03-16,19.61,19.67,19.488,19.652,1383581
2006-03-17,19.686,19.686,19.524,19.636,331364
2006-03-20,19.748,19.748,19.61,19.704,362347
2006-03-21,19.61,19.636,19.464,19.507,512016
2006-03-22,19.455,19.67,19.446,19.67,1516010
2006-03-23,19.626,19.652,19.395,19.48,277206
2006-03-24,19.54,19.643,19.446,19.643,959619
2006-03-27,19.54,19.54,19.395,19.473,671933
2006-03-28,19.403,19.507,19.301,19.335,819501
2006-03-29,19.387,19.567,19.317,19.516,704893
2006-03-30,19.636,19.893,19.636,19.833,1051167
2006-03-31,19.85,19.867,19.704,19.79,636059
2006-04-03,19.85,20.005,19.781,19.945,954960
2006-04-04,20.141,20.271,20.065,20.237,1003646
2006-04-05,20.305,20.322,20.202,20.314,541366
2006-04-06,20.245,20.271,20.108,20.21,732497
2006-04-07,20.15,20.159,19.704,19.713,1043829
2006-04-10,19.79,19.919,19.79,19.867,286988
2006-04-11,19.867,19.867,19.532,19.567,708386
2006-04-12,19.567,19.619,19.516,19.575,599252
2006-04-13,19.488,19.626,19.455,19.601,976159
2006-04-17,19.773,19.876,19.764,19.833,1113947
2006-04-18,19.842,20.074,19.79,20.074,828356
2006-04-19,20.126,20.383,20.084,20.366,1016109
2006-04-20,20.348,20.494,20.322,20.494,1182316
2006-04-21,20.598,20.692,20.504,20.555,614044
2006-04-24,20.838,20.838,20.46,20.7,1023680
2006-04-25,20.743,20.761,20.528,20.7,1709938
2006-04-26,20.769,20.872,20.743,20.838,918156
2006-04-27,20.546,20.89,20.528,20.864,547189
2006-04-28,20.761,20.847,20.692,20.752,585275
2006-05-01,20.864,20.967,20.684,20.7,456225
2006-05-02,20.95,20.983,20.89,20.974,3642687
2006-05-03,20.864,20.864,20.623,20.7,1150401
2006-05-04,20.761,21.087,20.761,21.044,496174
2006-05-05,21.267,21.421,21.189,21.412,961949
2006-05-08,21.489,21.489,21.318,21.344,620333
2006-05-09,21.412,21.482,21.344,21.463,870053
2006-05-10,21.482,21.541,21.378,21.533,417321
2006-05-11,21.463,21.463,21.189,21.215,956357
2006-05-12,21.077,21.122,20.743,20.812,1290054
2006-05-15,20.511,20.641,20.383,20.494,1294247
2006-05-16,20.692,20.7,20.4,20.555,1524977
2006-05-17,20.271,20.348,19.601,19.619,1608954
2006-05-18,19.85,19.962,19.619,19.662,888686
2006-05-19,19.626,19.833,19.516,19.781,659586
2006-05-22,19.403,19.507,19.171,19.413,977090
2006-05-23,19.662,19.927,19.559,19.584,804362
2006-05-24,19.488,19.584,19.223,19.507,4001887
2006-05-25,19.704,19.971,19.67,19.953,674262
2006-05-26,20.117,20.117,19.901,20.022,781649
2006-05-30,19.876,19.919,19.601,19.601,902897
2006-05-31,19.773,19.927,19.704,19.842,466472
2006-06-01,19.575,20.005,19.507,20.005,1367042
2006-06-02,20.322,20.322,19.953,20.074,318669
2006-06-05,19.987,19.996,19.575,19.584,951583
2006-06-06,19.368,19.413,19.068,19.292,1153430
2006-06-07,19.128,19.368,19.068,19.078,426989
2006-06-08,18.665,18.777,18.287,18.699,1490270
2006-06-09,18.819,18.845,18.501,18.528,379236
2006-06-12,18.501,18.553,18.245,18.245,929337
2006-06-13,18.013,18.168,17.713,17.748,1813831
2006-06-14,17.962,18.16,17.859,17.995,1140851
2006-06-15,18.339,18.674,18.339,18.665,872964
2006-06-16,18.477,18.588,18.348,18.459,318203
2006-06-19,18.604,18.665,18.365,18.374,875527
2006-06-20,18.442,18.794,18.442,18.622,315291
2006-06-21,18.622,19.06,18.622,18.992,1244512
2006-06-22,18.905,18.949,18.725,18.888,516210
2006-06-23,18.655,18.888,18.655,18.845,122064
2006-06-26,18.785,18.93,18.725,18.879,212912
2006-06-27,18.974,18.974,18.459,18.588,407421
2006-06-28,18.665,18.674,18.536,18.604,108786
2006-06-29,18.828,19.421,18.828,19.413,2052600
2006-06-30,19.686,19.756,19.559,19.696,387971
2006-07-03,19.729,19.987,19.722,19.987,436074
2006-07-05,19.507,19.584,19.335,19.507,1098455
2006-07-06,19.61,19.738,19.567,19.704,302480
2006-07-07,19.626,19.781,19.55,19.55,425240
2006-07-10,19.643,19.713,19.575,19.652,194742
2006-07-11,19.413,19.584,19.283,19.559,915360
2006-07-12,19.54,19.54,19.162,19.213,1466160
2006-07-13,18.966,19.008,18.785,18.819,1079470
2006-07-14,18.785,18.802,18.484,18.632,1073647
2006-07-17,18.254,18.408,18.245,18.33,540550
2006-07-18,18.365,18.382,18.124,18.348,332414
2006-07-19,18.245,18.949,18.245,18.922,287571
2006-07-20,19.104,19.104,18.802,18.811,511897
2006-07-21,18.811,18.811,18.588,18.682,158869
2006-07-24,18.751,19.104,18.717,19.086,345109
2006-07-25,19.06,19.138,18.915,19.068,326473
2006-07-26,19.042,19.275,18.983,19.223,755093
2006-07-27,19.55,19.55,19.265,19.275,399268
2006-07-28,19.429,19.713,19.421,19.713,397755
2006-07-31,19.643,19.738,19.54,19.67,595059
2006-08-01,19.524,19.524,19.275,19.464,497804
2006-08-02,19.55,19.748,19.55,19.696,227473
2006-08-03,19.48,19.729,19.438,19.729,401947
2006-08-04,19.901,20.039,19.713,19.756,349534
2006-08-07,19.626,19.713,19.567,19.643,158869
2006-08-08,19.575,19.756,19.524,19.619,670068
2006-08-09,19.876,19.919,19.636,19.636,191365
2006-08-10,19.498,19.61,19.403,19.559,1119885
2006-08-11,19.362,19.507,19.352,19.413,578753
2006-08-14,19.567,19.67,19.498,19.559,253561
2006-08-15,19.962,20.056,19.901,20.046,272314
2006-08-16,20.28,20.322,20.185,20.314,424660
2006-08-17,20.305,20.366,20.22,20.253,342779
2006-08-18,20.305,20.34,20.177,20.322,434677
2006-08-21,20.245,20.331,20.237,20.262,205575
2006-08-22,20.117,20.237,20.039,20.168,336256
2006-08-23,20.089,20.228,19.971,20.022,381914
2006-08-24,20.305,20.305,20.031,20.098,252281
2006-08-25,20.039,20.177,20.013,20.074,150483
2006-08-28,20.177,20.348,20.089,20.271,471598
2006-08-29,20.297,20.425,20.185,20.366,369918
2006-08-30,20.477,20.477,20.348,20.4,249018
2006-08-31,20.452,20.486,20.331,20.4,500600
2006-09-01,20.416,20.504,20.358,20.486,149783
2006-09-05,20.486,20.546,20.392,20.546,545092
2006-09-06,20.546,20.546,20.141,20.177,710718
2006-09-07,19.962,20.046,19.867,19.935,154558
2006-09-08,19.893,19.962,19.85,19.927,153627
2006-09-11,19.893,20.046,19.859,20.022,219318
2006-09-12,20.141,20.314,20.056,20.305,815425
2006-09-13,20.271,20.348,20.22,20.348,160500
2006-09-14,20.34,20.408,20.28,20.408,264743
2006-09-15,20.416,20.416,20.28,20.305,647007
2006-09-18,20.297,20.416,20.271,20.373,271614
2006-09-19,20.4,20.4,20.065,20.177,509921
2006-09-20,20.348,20.494,20.348,20.452,386924
2006-09-21,20.52,20.589,20.452,20.477,668320
2006-09-22,20.511,20.52,20.314,20.408,1727991
2006-09-25,20.494,20.598,20.237,20.528,419534
2006-09-26,20.416,20.563,20.416,20.555,215125
2006-09-27,20.563,20.649,20.546,20.58,1285044
2006-09-28,20.546,20.684,20.546,20.675,293279
2006-09-29,20.606,20.709,20.598,20.632,1182200
2006-10-02,20.606,20.769,20.606,20.7,434909
2006-10-03,20.58,20.82,20.528,20.769,3010006
2006-10-04,20.735,21.095,20.692,21.095,1148887
2006-10-05,21.035,21.077,20.95,21.011,877041
2006-10-06,20.812,20.864,20.727,20.778,506542
2006-10-09,20.761,20.872,20.735,20.854,679851
2006-10-10,20.761,20.89,20.735,20.864,707571
2006-10-11,20.735,20.916,20.717,20.795,994095
2006-10-12,20.916,21.062,20.916,21.062,526223
2006-10-13,20.931,20.992,20.898,20.967,213843
2006-10-16,20.916,21.035,20.907,21.035,673562
2006-10-17,20.838,20.907,20.752,20.89,227122
2006-10-18,21.011,21.044,20.907,20.941,386341
